epoch,train_loss,validation_mcc,threshold
1,1.2043361386348461,0.21939374719810031,0.8049999999999999
2,1.1770603153212318,0.22681919008927237,0.735
3,1.1667069042551106,0.23144352528415355,0.7649999999999999
4,1.1602671084732845,0.2304176113625727,0.7849999999999999
5,1.1581858900086632,0.2270256623770207,0.7799999999999999
6,1.1590981534842788,0.23332485450559867,0.83
7,1.1567951276384552,0.23008902885226148,0.7549999999999999
8,1.1586641494570107,0.2302004522296976,0.7699999999999999
9,1.1562101193543137,0.2342238967841602,0.735
10,1.155794684229226,0.23653463730311927,0.73
11,1.1559484899044037,0.23072768727038925,0.74
12,1.1560990645967681,0.23454365628874912,0.725
13,1.1579206668097397,0.23215847677416857,0.7849999999999999
14,1.154411324139299,0.2351244036588737,0.7699999999999999
