consumer_id,split
MT_002,train
MT_003,train
MT_004,train
MT_005,train
MT_006,train
MT_008,train
MT_010,train
MT_011,train
MT_013,train
MT_014,train
MT_016,train
MT_017,train
MT_018,train
MT_019,train
MT_020,train
MT_021,train
MT_022,train
MT_023,train
MT_024,train
MT_026,train
MT_027,train
MT_028,train
MT_029,train
MT_033,train
MT_036,train
MT_038,train
MT_045,train
MT_046,train
MT_048,train
MT_049,train
MT_051,train
MT_052,train
MT_009,validation
MT_031,validation
MT_037,validation
MT_040,validation
MT_043,validation
MT_044,validation
MT_047,validation
MT_001,test
MT_007,test
MT_025,test
MT_034,test
MT_035,test
MT_042,test
MT_050,test
