consumer_id,split
MT_001,train
MT_002,train
MT_004,train
MT_005,train
MT_006,train
MT_007,train
MT_008,train
MT_010,train
MT_011,train
MT_014,train
MT_016,train
MT_018,train
MT_019,train
MT_020,train
MT_022,train
MT_023,train
MT_024,train
MT_026,train
MT_027,train
MT_028,train
MT_029,train
MT_031,train
MT_033,train
MT_034,train
MT_035,train
MT_040,train
MT_043,train
MT_046,train
MT_048,train
MT_049,train
MT_051,train
MT_052,train
MT_003,validation
MT_009,validation
MT_025,validation
MT_036,validation
MT_037,validation
MT_042,validation
MT_045,validation
MT_013,test
MT_017,test
MT_021,test
MT_038,test
MT_044,test
MT_047,test
MT_050,test
