consumer_id,split
MT_001,train
MT_002,train
MT_003,train
MT_004,train
MT_005,train
MT_006,train
MT_007,train
MT_009,train
MT_010,train
MT_011,train
MT_013,train
MT_014,train
MT_016,train
MT_017,train
MT_018,train
MT_019,train
MT_023,train
MT_026,train
MT_027,train
MT_028,train
MT_029,train
MT_033,train
MT_035,train
MT_037,train
MT_038,train
MT_040,train
MT_042,train
MT_046,train
MT_047,train
MT_048,train
MT_049,train
MT_050,train
MT_008,validation
MT_020,validation
MT_021,validation
MT_024,validation
MT_036,validation
MT_045,validation
MT_051,validation
MT_022,test
MT_025,test
MT_031,test
MT_034,test
MT_043,test
MT_044,test
MT_052,test
