consumer_id,split
MT_002,train
MT_004,train
MT_005,train
MT_008,train
MT_010,train
MT_011,train
MT_013,train
MT_016,train
MT_018,train
MT_019,train
MT_020,train
MT_021,train
MT_022,train
MT_023,train
MT_025,train
MT_026,train
MT_027,train
MT_031,train
MT_034,train
MT_035,train
MT_037,train
MT_038,train
MT_040,train
MT_042,train
MT_043,train
MT_045,train
MT_046,train
MT_048,train
MT_049,train
MT_050,train
MT_051,train
MT_052,train
MT_003,validation
MT_007,validation
MT_009,validation
MT_024,validation
MT_029,validation
MT_036,validation
MT_047,validation
MT_001,test
MT_006,test
MT_014,test
MT_017,test
MT_028,test
MT_033,test
MT_044,test
