consumer_id,split
MT_001,train
MT_002,train
MT_003,train
MT_004,train
MT_007,train
MT_008,train
MT_009,train
MT_010,train
MT_011,train
MT_014,train
MT_016,train
MT_018,train
MT_019,train
MT_021,train
MT_023,train
MT_024,train
MT_025,train
MT_026,train
MT_027,train
MT_028,train
MT_029,train
MT_031,train
MT_033,train
MT_034,train
MT_038,train
MT_042,train
MT_043,train
MT_044,train
MT_045,train
MT_047,train
MT_051,train
MT_052,train
MT_006,validation
MT_013,validation
MT_017,validation
MT_022,validation
MT_035,validation
MT_040,validation
MT_046,validation
MT_005,test
MT_020,test
MT_036,test
MT_037,test
MT_048,test
MT_049,test
MT_050,test
