consumer_id,split
MT_001,train
MT_002,train
MT_003,train
MT_004,train
MT_005,train
MT_006,train
MT_007,train
MT_008,train
MT_009,train
MT_010,train
MT_013,train
MT_018,train
MT_020,train
MT_021,train
MT_024,train
MT_025,train
MT_026,train
MT_027,train
MT_029,train
MT_031,train
MT_034,train
MT_037,train
MT_038,train
MT_040,train
MT_042,train
MT_043,train
MT_045,train
MT_048,train
MT_049,train
MT_050,train
MT_051,train
MT_052,train
MT_014,validation
MT_023,validation
MT_028,validation
MT_033,validation
MT_036,validation
MT_044,validation
MT_047,validation
MT_011,test
MT_016,test
MT_017,test
MT_019,test
MT_022,test
MT_035,test
MT_046,test
