consumer_id,split
MT_001,train
MT_002,train
MT_004,train
MT_006,train
MT_007,train
MT_008,train
MT_009,train
MT_011,train
MT_013,train
MT_016,train
MT_018,train
MT_019,train
MT_020,train
MT_022,train
MT_023,train
MT_024,train
MT_026,train
MT_028,train
MT_029,train
MT_034,train
MT_037,train
MT_038,train
MT_040,train
MT_042,train
MT_043,train
MT_045,train
MT_046,train
MT_047,train
MT_049,train
MT_050,train
MT_051,train
MT_052,train
MT_017,validation
MT_021,validation
MT_025,validation
MT_027,validation
MT_031,validation
MT_035,validation
MT_048,validation
MT_003,test
MT_005,test
MT_010,test
MT_014,test
MT_033,test
MT_036,test
MT_044,test
