model,seed,attack,mcc,auroc,attack_recall
LSTM,11,daily_flattening,0.32408803593013896,0.756043956043956,0.7
LSTM,11,noise,0.169291618328479,0.5244755244755244,0.45454545454545453
LSTM,11,partial_zeroing,0.10361867758600996,0.5910518053375196,0.3333333333333333
LSTM,11,peak_clipping,0.2178339242048817,0.6119144013880856,0.47368421052631576
LSTM,11,reversal,0.023280575352089543,0.46886446886446886,0.25
LSTM,11,scaled_reduction,0.3643625900745181,0.7747252747252747,0.6666666666666666
LSTM,23,daily_flattening,-0.0784348521245653,0.31868131868131866,0.06666666666666667
LSTM,23,noise,-0.05572409401803959,0.3424908424908425,0.08333333333333333
LSTM,23,partial_zeroing,0.0812209433287056,0.699023199023199,0.2222222222222222
LSTM,23,peak_clipping,0.19327783587126707,0.6177394034536892,0.35714285714285715
LSTM,23,reversal,-0.04818120558297158,0.5,0.1
LSTM,23,scaled_reduction,0.47527870864351884,0.782051282051282,0.75
LSTM,37,daily_flattening,-0.030290828101854492,0.33281004709576134,0.21428571428571427
LSTM,37,noise,-0.037085525320158845,0.5159051474840948,0.21052631578947367
LSTM,37,partial_zeroing,0.048478146168789114,0.5652472527472527,0.3125
LSTM,37,peak_clipping,0.17637522718169119,0.7344322344322344,0.5
LSTM,37,reversal,-0.04273015845104084,0.4117216117216117,0.2
LSTM,37,scaled_reduction,0.21499134152554691,0.7743589743589743,0.5333333333333333
LSTM,53,daily_flattening,0.23502786055720126,0.6094674556213018,1.0
LSTM,53,noise,0.00473435623727381,0.5618131868131868,0.6875
LSTM,53,partial_zeroing,0.11485985145121062,0.6229395604395604,0.875
LSTM,53,peak_clipping,0.16184117493773073,0.6858435681965094,0.8823529411764706
LSTM,53,reversal,0.0892158006592926,0.5500289184499711,0.7894736842105263
LSTM,53,scaled_reduction,0.21874903631585574,0.8290598290598291,0.9444444444444444
LSTM,71,daily_flattening,-0.14165539998607804,0.47409733124018844,0.21428571428571427
LSTM,71,noise,-0.004297548839972763,0.5223012281835812,0.4117647058823529
LSTM,71,partial_zeroing,0.2991830368027063,0.6797488226059654,0.8571428571428571
LSTM,71,peak_clipping,0.18255958165266709,0.5925612848689772,0.6923076923076923
LSTM,71,reversal,-0.0918538373239209,0.5048480930833872,0.29411764705882354
LSTM,71,scaled_reduction,0.059368588718972416,0.510989010989011,0.5
LSTM,89,daily_flattening,0.0,0.512087912087912,0.0
LSTM,89,noise,0.0,0.4696356275303643,0.0
LSTM,89,partial_zeroing,0.0,0.6648351648351648,0.0
LSTM,89,peak_clipping,0.0,0.5435333896872359,0.0
LSTM,89,reversal,0.0,0.14468864468864467,0.0
LSTM,89,scaled_reduction,0.0,0.7705235940530057,0.0
LSTM,107,daily_flattening,-0.09938693418529143,0.2939560439560439,0.0
LSTM,107,noise,0.10431776387607505,0.6730769230769231,0.2
LSTM,107,partial_zeroing,0.15146206938921217,0.5014985014985015,0.2727272727272727
LSTM,107,peak_clipping,0.13596547005117568,0.579185520361991,0.23529411764705882
LSTM,107,reversal,-0.055646319394348644,0.4690934065934066,0.0625
LSTM,107,scaled_reduction,-0.005610335454685608,0.6766917293233082,0.10526315789473684
LSTM,131,daily_flattening,-0.1310356045902398,0.4021978021978022,0.0
LSTM,131,noise,0.2287237822097536,0.6413586413586413,0.36363636363636365
LSTM,131,partial_zeroing,-0.07214791053658226,0.5176402544823597,0.05263157894736842
LSTM,131,peak_clipping,0.07451755367231847,0.6250808015513898,0.17647058823529413
LSTM,131,reversal,-0.01898101898101898,0.4545454545454546,0.09090909090909091
LSTM,131,scaled_reduction,-0.06697668948863124,0.6807081807081807,0.05555555555555555
LSTM,149,daily_flattening,0.044642857142857144,0.39903846153846156,0.1875
LSTM,149,noise,-0.1636634176769943,0.38705738705738707,0.0
LSTM,149,partial_zeroing,0.03412261549897399,0.6513486513486513,0.18181818181818182
LSTM,149,peak_clipping,0.016123225690132085,0.6252168883747831,0.15789473684210525
LSTM,149,reversal,0.01034452008423497,0.41842772612003387,0.15384615384615385
LSTM,149,scaled_reduction,0.06756187343149266,0.7017268445839875,0.21428571428571427
LSTM,173,daily_flattening,-0.053392955798087345,0.4099746407438715,0.15384615384615385
LSTM,173,noise,-0.06425263978050369,0.445839874411303,0.14285714285714285
LSTM,173,partial_zeroing,0.08617696590032575,0.6620879120879122,0.3333333333333333
LSTM,173,peak_clipping,0.2791461020271941,0.6282051282051282,0.5555555555555556
LSTM,173,reversal,-0.12607465830311831,0.45054945054945056,0.07142857142857142
LSTM,173,scaled_reduction,0.32261300144197824,0.7274725274725274,0.6
Attention-LSTM,11,daily_flattening,-0.006470154480826261,0.554945054945055,0.2
Attention-LSTM,11,noise,0.04821771230049424,0.5214785214785214,0.2727272727272727
Attention-LSTM,11,partial_zeroing,0.5020575448866075,0.8435374149659864,0.8095238095238095
Attention-LSTM,11,peak_clipping,0.04975944302345654,0.5384615384615384,0.2631578947368421
Attention-LSTM,11,reversal,-0.17270586423628254,0.37087912087912084,0.0
Attention-LSTM,11,scaled_reduction,0.3768566354180868,0.7832722832722833,0.6666666666666666
