,,mcc,mcc,auroc,auroc,attack_recall,attack_recall
,,mean,std,mean,std,mean,std
model,attack,,,,,,
Attention-LSTM,daily_flattening,-0.07602274531168417,0.05946199026906466,0.37902140441975607,0.09816229394134666,0.1752930402930403,0.2237747570461779
Attention-LSTM,noise,0.02590900654676297,0.10564048165912353,0.5042388601864498,0.10288362201284457,0.2996687239489097,0.20906764656576227
Attention-LSTM,partial_zeroing,0.26769853614208233,0.21513780312313394,0.809598844138318,0.06374874700793985,0.5912029125844915,0.3349383901489767
Attention-LSTM,peak_clipping,0.11938957163140293,0.07355360456780241,0.6217618564087111,0.057877327266427976,0.41735938639963405,0.26356408929115854
Attention-LSTM,reversal,-0.08265581578242588,0.06045916515094122,0.42058669572129415,0.0790883559066856,0.1620647038719794,0.1486101224253474
Attention-LSTM,scaled_reduction,0.27164174204925795,0.16862034038329674,0.7440252788024792,0.04879643175994166,0.5748496240601504,0.2682191491243139
CNN-LSTM,daily_flattening,-0.04013439042993859,0.06312927045827349,0.4349996981040937,0.1369957200509703,0.2634798534798535,0.3971866506298445
CNN-LSTM,noise,0.03615762076892838,0.09401817540377663,0.5065552735018679,0.10151277503407902,0.3493799337916985,0.3749660854035248
CNN-LSTM,partial_zeroing,0.17939511476665043,0.23394580531146167,0.672775162389824,0.1575892881917944,0.4872256398572188,0.36519258721076636
CNN-LSTM,peak_clipping,0.08746429469769167,0.08894493684591152,0.5730759967227834,0.10521763228733123,0.40363389620355566,0.3627116790985778
CNN-LSTM,reversal,-0.0427228286920035,0.049957227328726914,0.43067149410088207,0.11493955685189329,0.26189553093964857,0.39831384229525146
CNN-LSTM,scaled_reduction,0.17234522708817795,0.23012700073674477,0.6771953869267004,0.16330550648452147,0.4841771094402674,0.3764239381476269
CNN-TCN,daily_flattening,-0.05434925643772459,0.09143781028407713,0.40254739765728775,0.10794265864412114,0.20942765567765567,0.23766356963648913
CNN-TCN,noise,0.018047314910674413,0.10850897407162201,0.5130256654864129,0.0994333598620702,0.29804534732553306,0.21006940851324996
CNN-TCN,partial_zeroing,0.35450402779946844,0.27194708625607417,0.8527690459081436,0.09259288510394803,0.7498338649654439,0.3864465092555401
CNN-TCN,peak_clipping,0.13698012622833552,0.09185350746830696,0.6227593435381004,0.05693142642239494,0.43314886008384457,0.23940533611355277
CNN-TCN,reversal,-0.08370023437156397,0.06511480626444448,0.41187574643401714,0.09038086468026996,0.16692300346712113,0.14733552584154883
CNN-TCN,scaled_reduction,0.24354026754728664,0.1894612359764904,0.7386158653744899,0.053130392392695076,0.5648496240601504,0.26904017304830735
LSTM,daily_flattening,0.006956217884408096,0.15592553707834253,0.45083549692066177,0.14350119524324165,0.25365842490842494,0.3336132329711801
LSTM,noise,0.018204429501591228,0.11736832518558592,0.5083954382881848,0.10318471874490023,0.25541633160441213,0.2211958184917412
LSTM,partial_zeroing,0.08469743955893513,0.09853787582112988,0.6155421124406086,0.06891605798512954,0.3440708779524569,0.29738498708731437
LSTM,peak_clipping,0.1437640095289058,0.08880553228030595,0.6243712620520023,0.05343295025736749,0.40307026994333495,0.2698118467380642
LSTM,reversal,-0.026062630194080217,0.06123894938789178,0.43727677746164295,0.11071171297391125,0.20122751474531658,0.22565710323066446
LSTM,scaled_reduction,0.1650338115208566,0.1816732457129631,0.7228307247325381,0.08923219337592488,0.43695488721804504,0.32389188566617516
PI-DLNN,daily_flattening,-0.06039159323891939,0.0688925887194508,0.38011738719156296,0.098650710856713,0.1863507326007326,0.2210897031623758
PI-DLNN,noise,0.012119877315972203,0.11666707445895119,0.5052509389229867,0.10278724956257548,0.2684187239489097,0.21964418322798226
PI-DLNN,partial_zeroing,0.32610780387524757,0.2651029939745593,0.8257430643708839,0.08270903024376718,0.6664013252829042,0.3620659479022394
PI-DLNN,peak_clipping,0.15597604348538313,0.1265205503707306,0.6207039745203594,0.05726464631482691,0.4272665071426681,0.24230023147605476
PI-DLNN,reversal,-0.07252540629428642,0.061517320863212516,0.4217672261141369,0.08009877782806499,0.16692300346712113,0.14733552584154883
PI-DLNN,scaled_reduction,0.26947326658823645,0.22292477606119554,0.7441000651272656,0.047993232938540166,0.5681829573934837,0.26650648006822625
Transformer,daily_flattening,-0.05411660817923074,0.07450365682262694,0.3605375759771364,0.09635978351257578,0.1413507326007326,0.11298553050944492
Transformer,noise,0.009126894676228488,0.10745618861495809,0.5191238395738618,0.09045903195230585,0.22915436988192406,0.16339885067163784
Transformer,partial_zeroing,0.4722864682852078,0.2808691029061776,0.8761601911038002,0.12856872491524332,0.7994318181818182,0.344468476549144
Transformer,peak_clipping,0.09824107173198866,0.08838524598552307,0.607190223748588,0.06578958958978262,0.33631628089832427,0.20519997098514473
Transformer,reversal,-0.0692751104215364,0.06567734450441724,0.41722306066618486,0.08613775994523046,0.11692300346712112,0.09848452672722667
Transformer,scaled_reduction,0.20098387161202952,0.1642633247008602,0.7433732366090836,0.04682707327330486,0.4655685783085164,0.2616376503342666
