dataset,metric,comparator,paired_mean_improvement,ci95_low,ci95_high,wilcoxon_one_sided_p,holm_adjusted_p,n_seeds
SGCC,mcc,Transformer,-0.02574273162290095,-0.038396134846945526,-0.014204957954830582,0.9990234375,1.0,10
SGCC,f1,Transformer,-0.05087361073834433,-0.08112798003809324,-0.02725403888547941,1.0,1.0,10
SGCC,balanced_accuracy,Transformer,-0.03816612714993882,-0.060570990752336566,-0.019789694718036946,1.0,1.0,10
SGCC,auroc,Transformer,-0.04245672622063022,-0.05130134840647099,-0.03362444408427493,1.0,1.0,10
SGCC,average_precision,Transformer,-0.029983736875567175,-0.0342490257438129,-0.024882480418065796,1.0,1.0,10
SGCC,brier,Transformer,-0.013690073788166038,-0.022396652624011047,-0.004515753984451268,0.9931640625,1.0,10
UCI,mcc,Transformer,-0.021775448645366978,-0.08541724049510306,0.03823445029400836,0.8125,1.0,10
UCI,f1,Transformer,0.007363040822526551,-0.07539959580028346,0.08831774848787859,0.46875,1.0,10
UCI,balanced_accuracy,Transformer,-0.009890109890109888,-0.03736263736263736,0.018145604395604323,0.859375,1.0,10
UCI,auroc,Transformer,-0.007100591715976379,-0.02052892162782276,0.0038159642555246737,0.5771484375,1.0,10
UCI,average_precision,Transformer,-0.020867250583774054,-0.049570141520605925,0.0010598344774186538,0.7841796875,1.0,10
UCI,brier,Transformer,-0.006511272490024578,-0.010404882021248356,-0.0029344534128904363,0.9970703125,1.0,10
