dataset,model,seed,epochs,patience,batch,hidden,lr,weight_decay,physics_lambda,smoothness_lambda,threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,average_precision,brier,ece,tn,fp,fn,tp,n_train,n_validation,n_test,best_epoch,validation_mcc,training_seconds,inference_ms_per_sample,parameter_count,checkpoint_sha256,preprocessing
SGCC,LSTM,11,20,4,512,24,0.001,0.0001,0.0001,0.001,0.725,0.2786377708978328,0.1657458563535911,0.9599174264579392,0.207852193995381,0.5628316414057651,0.1599339094840653,0.6639142152646368,0.1888654727090426,0.2052835524082183,0.3509422032487249,5580,233,453,90,29660,6356,6356,11,0.1981567123771923,23.938793524999937,0.0061617013845412,2617,49ad408597cbcb8f1f76e3f3de48663b65c363ddd43bf0cf1e80096599ba32b2,"{""mean"": 1.659198522567749, ""p995"": 4.9457292556762695, ""std"": 1.1075389385223389}"
SGCC,LSTM,23,20,4,512,24,0.001,0.0001,0.0001,0.001,0.58,0.260047281323877,0.2025782688766114,0.9461551694477894,0.2277432712215321,0.5743667191622004,0.1668020317151039,0.6564263942601505,0.1857216977021198,0.2253152877092361,0.3855019697955826,5500,313,433,110,29660,6356,6356,1,0.1751595133358449,4.221498542000063,0.0044542002831943,2617,5ac32268e59a82032f9d700b3ea2dc9cec55250d944135ea33935a609a2bf0b0,"{""mean"": 1.661300778388977, ""p995"": 4.9457292556762695, ""std"": 1.1057639122009277}"
SGCC,LSTM,37,20,4,512,24,0.001,0.0001,0.0001,0.001,0.58,0.264855687606112,0.287292817679558,0.925511783932565,0.2756183745583039,0.6064023008060615,0.2051391104442567,0.6831650593275566,0.2286669256526353,0.2066519409418106,0.3603171563799311,5380,433,387,156,29660,6356,6356,7,0.2076790704751339,10.187431841000034,0.0060628859345468,2617,157b2fdf621bc73f42aa076e461c101aabfe476f8657c22f0158601077bbcc50,"{""mean"": 1.6570286750793457, ""p995"": 4.910050392150879, ""std"": 1.1032549142837524}"
SGCC,LSTM,53,20,4,512,24,0.001,0.0001,0.0001,0.001,0.7499999999999999,0.384180790960452,0.1252302025782689,0.9812489248236712,0.1888888888888888,0.5532395637009699,0.1808917785901328,0.6655258313192094,0.1964211367287692,0.2182802259922027,0.3758470003356567,5704,109,475,68,29660,6356,6356,2,0.2236700245342783,5.394651820000036,0.0036064339207226,2617,65c7e938caf3b2870cd79da1ba28bc7ce9eba8fd6bc2bd4a88c0bd9cc4184ed5,"{""mean"": 1.655530333518982, ""p995"": 4.9090375900268555, ""std"": 1.1081187725067139}"
SGCC,LSTM,71,20,4,512,24,0.001,0.0001,0.0001,0.001,0.6399999999999999,0.2909090909090909,0.2357274401473296,0.9463271976604164,0.2604272634791454,0.591027318903873,0.2004755447938361,0.6925358447551512,0.2204364200374051,0.2144226133823394,0.3701426833211587,5501,312,415,128,29660,6356,6356,8,0.1946991456728516,10.537310571000036,0.0047953453429852,2617,8273e87e7c72f359d2156d0771cf38f3df4daba9d4d54e063bda9399a9b7822d,"{""mean"": 1.6630699634552002, ""p995"": 4.93992280960083, ""std"": 1.106569528579712}"
SGCC,LSTM,89,20,4,512,24,0.001,0.0001,0.0001,0.001,0.62,0.1968911917098445,0.3499079189686924,0.8666781352141751,0.2519893899204244,0.6082930270914337,0.1687066660159302,0.6819814545349709,0.1924727685377381,0.2146079987287521,0.3605331061413784,5038,775,353,190,29660,6356,6356,20,0.191958804299136,17.709572551000065,0.0046528821585788,2617,9c1415ef7ed69c2eb9cadd4ecd8ed9d0b1f3f87100fc18f9d25ebce6795ddbe5,"{""mean"": 1.6562169790267944, ""p995"": 4.927568435668945, ""std"": 1.1022279262542725}"
SGCC,LSTM,107,20,4,512,24,0.001,0.0001,0.0001,0.001,0.72,0.3098159509202454,0.1863468634686347,0.9613003095975232,0.2327188940092165,0.573823586533079,0.1869368141592128,0.6635387987006806,0.2117864227968451,0.2155776768922805,0.3694039827120086,5589,225,441,101,29660,6356,6356,11,0.2373142083964577,14.189836880999792,0.003905904657038,2617,a6ddedc8183b573f417dce71c4c7a5bc2e799d0b95f0d6ecc665beb623ecc50b,"{""mean"": 1.6612826585769653, ""p995"": 4.9096879959106445, ""std"": 1.1027220487594604}"
SGCC,LSTM,131,20,4,512,24,0.001,0.0001,0.0001,0.001,0.7649999999999999,0.2866449511400651,0.1620626151012891,0.9623258214347152,0.2070588235294117,0.5621942182680022,0.1621694730024015,0.6621513220985921,0.1925078365512794,0.2319205701351165,0.3886702620829328,5594,219,455,88,29660,6356,6356,2,0.190789376266549,4.824092672999996,0.0080906815607187,2617,e706c911d9aa8b823c058759f2d3435288dac32ef490f63494a4195d26852a2b,"{""mean"": 1.65463387966156, ""p995"": 4.932785511016846, ""std"": 1.1015292406082153}"
SGCC,LSTM,149,20,4,512,24,0.001,0.0001,0.0001,0.001,0.6,0.2309859154929577,0.3020257826887661,0.9060725959057284,0.2617717478052673,0.6040491892972473,0.184658439619459,0.6592765817645659,0.2159973746119952,0.223265916109085,0.3791520854656316,5267,546,379,164,29660,6356,6356,9,0.1944989521028134,11.422840548000067,0.0044293351164497,2617,6fb2f3108d20719baa2fcb1077c374843967067286a2f74836e983fd36eb7225,"{""mean"": 1.6593199968338013, ""p995"": 4.9356303215026855, ""std"": 1.1055059432983398}"
SGCC,LSTM,173,20,4,512,24,0.001,0.0001,0.0001,0.001,0.6549999999999999,0.2933753943217665,0.1712707182320442,0.961465680371581,0.2162790697674418,0.5663681993018126,0.1704425254684789,0.6715751733192163,0.194681542101557,0.2131430953741073,0.3672406630059546,5589,224,450,93,29660,6356,6356,4,0.1939607357000926,6.435936660999914,0.0039571106041482,2617,b2b94f819974cfa83f4d60d72ca9a1448cfbc0b946ea0adb763246ffa11a354d,"{""mean"": 1.6609737873077393, ""p995"": 4.925848007202148, ""std"": 1.1032264232635498}"
