epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2504829784919476,0.16199169545296704,0.58,1.280976414680481,0.002867872128263116,2.8678721282631156e-09,0.06290589272975922,0.0005814364994876087,5.814364994876087e-10,9.242957603120471e-09,-0.24832884967327118
2,1.1929825328547379,0.17196178764702322,0.7549999999999999,1.2493339776992798,0.0016465327935293317,1.6465327935293316e-09,0.07424965500831604,0.0005269797402434051,5.269797402434051e-10,7.097403216006631e-09,0.001590596977621317
3,1.179888899984031,0.17571971660776942,0.73,1.2427563667297363,0.0010785323102027178,1.0785323102027177e-09,0.053148820996284485,0.0006541231996379793,6.541231996379792e-10,1.2307388712982129e-08,-0.4777030348777771
4,1.1750178778993672,0.17775562441789444,0.59,1.2425782680511475,0.0008046709699556231,8.046709699556232e-10,0.16946300864219666,0.0007971397717483342,7.971397717483341e-10,4.703916082544073e-09,-0.511092483997345
5,1.1727073233703087,0.1781288151888377,0.625,1.2374058961868286,0.0006769787869416177,6.769787869416177e-10,0.12371049076318741,0.0009091155952773988,9.091155952773988e-10,7.348734854004191e-09,-0.5231360793113708
6,1.170673312812016,0.18624004233930413,0.7799999999999999,1.2317265272140503,0.0006416942924261093,6.416942924261093e-10,0.06983543187379837,0.0010135688353329897,1.0135688353329895e-09,1.4513676054365056e-08,-0.4163520038127899
7,1.1682288235631482,0.18418982643344362,0.7499999999999999,1.2283133268356323,0.0006694269832223654,6.694269832223653e-10,0.1920960545539856,0.001172845484688878,1.172845484688878e-09,6.105515740091726e-09,-0.4732699990272522
8,1.1633647526132649,0.18061965513171688,0.6649999999999999,1.2165250778198242,0.0008093613432720304,8.093613432720303e-10,0.2241881787776947,0.0015006983885541558,1.5006983885541558e-09,6.6939229210753805e-09,-0.44728410243988037
9,1.1577995388672269,0.1766169169254711,0.7499999999999999,1.2129210233688354,0.0009745046845637262,9.745046845637261e-10,0.11514395475387573,0.0017752215499058366,1.7752215499058365e-09,1.541740991700724e-08,0.3385963439941406
10,1.1549508705221374,0.18434346865672038,0.6749999999999999,1.2094025611877441,0.0009749680757522583,9.749680757522583e-10,0.28570717573165894,0.0019070178968831897,1.9070178968831897e-09,6.674728739309977e-09,-0.46176666021347046
