dataset,metric,lambda_el,paired_mean_difference,ci95_low,ci95_high,wilcoxon_two_sided_p,n_seeds,holm_p_within_dataset_metric
SGCC,mcc,1e-06,0.0,0.0,0.0,1.0,10,1.0
SGCC,auroc,1e-06,-4.752160569720942e-07,-1.5206913823062606e-06,7.920267618422016e-08,0.875,10,1.0
SGCC,f1,1e-06,0.0,0.0,0.0,1.0,10,1.0
SGCC,balanced_accuracy,1e-06,0.0,0.0,0.0,1.0,10,1.0
SGCC,average_precision,1e-06,-3.960868991126354e-09,-1.1882606973379061e-08,0.0,1.0,10,1.0
SGCC,brier,1e-06,-1.4901161193847657e-09,-1.0430812810713341e-08,7.45058057194381e-09,1.0,10,1.0
SGCC,mcc,1e-05,2.7755575615628914e-17,1.1102230246251566e-17,4.718447854656915e-17,1.0,10,1.0
SGCC,auroc,1e-05,3.168107048923119e-08,-7.920267612870901e-08,1.2672428192361807e-07,0.5625,10,1.0
SGCC,f1,1e-05,2.7755575615628914e-17,1.1102230246251566e-17,4.718447854656915e-17,1.0,10,1.0
SGCC,balanced_accuracy,1e-05,0.0,0.0,0.0,1.0,10,1.0
SGCC,average_precision,1e-05,-8.458504640040942e-08,-2.0981347683135533e-07,4.333655731492136e-09,0.4375,10,1.0
SGCC,brier,1e-05,4.470348385909872e-09,3.608224830031759e-17,1.1920928941200338e-08,0.0078125,10,0.0703125
SGCC,mcc,0.0001,4.718447854656915e-17,3.3306690738754695e-17,6.106226635438361e-17,1.0,10,1.0
SGCC,auroc,0.0001,1.1091024314513475e-07,-1.7421939103590133e-07,3.960398773264484e-07,0.59375,10,1.0
SGCC,f1,0.0001,3.8857805861880476e-17,2.2135071553464123e-17,5.551115123125783e-17,1.0,10,1.0
SGCC,balanced_accuracy,0.0001,0.0,0.0,0.0,1.0,10,1.0
SGCC,average_precision,0.0001,-4.3522187068156805e-08,-2.1721499674838552e-07,1.3667002877429374e-07,0.76953125,10,1.0
SGCC,brier,0.0001,1.3411045118871811e-08,-2.384185786297177e-08,5.5134296442285735e-08,0.232421875,10,1.0
SGCC,mcc,0.001,4.718447854656915e-17,3.3306690738754695e-17,6.106226635438361e-17,1.0,10,1.0
SGCC,auroc,0.001,-7.080639759471374e-06,-2.141632613231109e-05,6.496229108354789e-07,0.6796875,10,1.0
SGCC,f1,0.001,3.8857805861880476e-17,2.2135071553464123e-17,5.551115123125783e-17,1.0,10,1.0
SGCC,balanced_accuracy,0.001,0.0,0.0,0.0,1.0,10,1.0
SGCC,average_precision,0.001,-4.2391235386962655e-07,-1.330821510614061e-06,4.1926496695265936e-07,0.4921875,10,1.0
SGCC,brier,0.001,1.490116119828855e-07,-1.3858079904463528e-07,4.753470421253736e-07,0.431640625,10,1.0
SGCC,mcc,0.01,-0.0004502281759900223,-0.0013506845279701641,5.551115123125783e-17,0.1015625,10,0.9140625
SGCC,auroc,0.01,0.000847785366163345,-5.670991102846301e-06,0.002551941752050157,0.080078125,10,0.640625
SGCC,f1,0.01,0.0006353528477422681,2.2204460492503132e-17,0.0019060585432267379,0.015625,10,0.140625
SGCC,balanced_accuracy,0.01,0.00019629591260333923,0.0,0.0005888877378100177,1.0,10,1.0
SGCC,average_precision,0.01,0.00034831089332966746,-3.1083082252580944e-06,0.0010493424802261015,0.193359375,10,1.0
SGCC,brier,0.01,-0.0012983918190001998,-0.0038993389159440585,3.908574581201821e-06,1.0,10,1.0
SGCC,mcc,0.1,0.001467977846304519,-0.0009019227310265027,0.0043706230252394136,0.2890625,10,1.0
SGCC,auroc,0.1,0.0014820060131659819,-5.042439381854835e-05,0.0036858264176128828,0.431640625,10,1.0
SGCC,f1,0.1,-0.0023990685755330976,-0.008402888446890685,0.001962896945435605,0.7109375,10,1.0
SGCC,balanced_accuracy,0.1,-0.003754887993159406,-0.010358062626506459,0.0005888877378100177,0.625,10,1.0
SGCC,average_precision,0.1,0.0007195690064124183,-5.353302885115624e-06,0.001788534965227262,0.4921875,10,1.0
SGCC,brier,0.1,-0.0017853558063506635,-0.004877327904105164,3.002319484953018e-05,0.845703125,10,1.0
SGCC,mcc,1.0,-0.0009754012570549863,-0.003480425491257383,0.002035735891151009,0.193359375,10,1.0
SGCC,auroc,1.0,0.00039583795596318525,-0.0008529728158542246,0.002242832087678467,0.16015625,10,1.0
SGCC,f1,1.0,-0.0021932488224295026,-0.008121163365108007,0.0023724440340974046,0.625,10,1.0
SGCC,balanced_accuracy,1.0,-0.0029707829785726946,-0.00938387118912761,0.0008884859670975799,0.4921875,10,1.0
SGCC,average_precision,1.0,5.9240927530085366e-05,-0.0006418647882349064,0.0009242110281764516,0.16015625,10,1.0
SGCC,brier,1.0,0.00019319504499439865,-0.003888581171631782,0.004500173106789633,1.0,10,1.0
SGCC,mcc,10.0,-0.002924752357917347,-0.010043052324943638,0.0028838966601779877,0.375,10,1.0
SGCC,auroc,10.0,-0.004658827048317304,-0.013095708530953178,0.0013925823830108384,0.275390625,10,1.0
SGCC,f1,10.0,-0.005488336017732691,-0.016879121412477667,0.003270720579394897,0.4921875,10,1.0
SGCC,balanced_accuracy,10.0,-0.006180429922696596,-0.01520128999745023,0.0008994224623029584,0.375,10,1.0
SGCC,average_precision,10.0,-0.0012595052236239412,-0.004467626967602562,0.001183713147028154,0.625,10,1.0
SGCC,brier,10.0,0.002159513533115431,-0.0032595699653029187,0.007629385553300426,0.322265625,10,1.0
SGCC,mcc,100.0,-0.0021868682468498186,-0.00924463149115572,0.004362789470256287,0.921875,10,1.0
SGCC,auroc,100.0,-0.011381615298599001,-0.02172510463269143,-0.002882795117850561,0.013671875,10,0.123046875
SGCC,f1,100.0,-0.012927651847885547,-0.027710251916885056,0.0010777984149976658,0.16015625,10,1.0
SGCC,balanced_accuracy,100.0,-0.011677257012649388,-0.02843249722010972,0.0002864648056141363,0.16015625,10,1.0
SGCC,average_precision,100.0,-0.0036578685638594234,-0.008501106373759714,0.00034001593471459407,0.431640625,10,1.0
SGCC,brier,100.0,0.0018560141324997393,-0.004731414057314352,0.008075100556016004,0.625,10,1.0
UCI,mcc,1e-06,0.0,0.0,0.0,1.0,10,1.0
UCI,auroc,1e-06,0.0,0.0,0.0,1.0,10,1.0
UCI,f1,1e-06,0.0,0.0,0.0,1.0,10,1.0
UCI,balanced_accuracy,1e-06,0.0,0.0,0.0,1.0,10,1.0
UCI,average_precision,1e-06,0.0,0.0,0.0,1.0,10,1.0
UCI,brier,1e-06,0.0,0.0,0.0,1.0,10,1.0
